# Trip recorded by Car Stats Viewer v0.29.0.0019 (com.ixam97.carStatsViewer_dev)
#
# Vehicle brand and model: Polestar. Polestar (ihu_abl_car)
# Start timestamp: 1726563439239
# End timestamp: 1726664212681
# Trip type: 3
# Drive time: 31389914
# Used energy: 135915.16110147838
# Used SoC: 0.0
# Used Soc (Energy): 0.0
# Driven distance: 730146.7889205553
# Note:
# Last edited: 1726604529250

Timestamp;Energy delta;Distance delta;Point Marker Type;SoC;lat;lon;alt
1726564279650;52.6192;101.0831;;0.37;62.075951;7.241080;422
1726564286949;26.8881;108.3989;;0.36;62.074890;7.242608;427
1726564293346;16.4468;105.8599;;0.36;62.074322;7.243504;426
1726564300650;-50.9716;105.9431;;0.36;62.073212;7.245457;421
1726564309050;19.2628;110.4357;;0.36;62.072880;7.246403;420
1726564317545;5.5264;102.0871;;0.36;62.072376;7.248718;418
1726564328251;44.6287;107.2504;;0.36;62.072403;7.250454;422
1726564337851;18.2712;105.3041;;0.36;62.073399;7.250620;421
1726564348346;67.8125;103.0669;;0.36;62.073429;7.251866;430
1726564356649;40.8649;103.3779;;0.36;62.073109;7.254017;434
1726564366051;86.9787;108.0455;;0.36;62.072468;7.255660;439
1726564373450;91.9603;110.3737;;0.36;62.072018;7.256575;446
1726564380851;84.7446;113.7711;;0.36;62.070908;7.258278;459
1726564388151;68.4803;113.0476;;0.36;62.070370;7.259278;466
1726564395747;80.7284;110.8544;;0.36;62.069099;7.259878;480
1726564403149;78.6636;115.6677;;0.36;62.068493;7.260590;487
1726564410651;79.7628;113.9493;;0.36;62.067150;7.261021;490
1726564418051;85.4922;114.6842;;0.35;62.066467;7.261092;498
1726564429750;12.1917;101.8358;;0.35;62.065300;7.261256;515
1726564438451;108.3065;103.8411;;0.35;62.065815;7.261471;521
1726564451145;30.5872;100.2268;;0.35;62.066864;7.262063;533
1726564460546;70.6525;108.2600;;0.35;62.065899;7.262057;540
1726564470251;67.7629;105.6107;;0.35;62.064926;7.262029;547
1726564482054;55.2952;109.2513;;0.35;62.064163;7.262525;552
1726564494651;44.6298;101.7323;;0.35;62.063602;7.261299;543
1726564508345;80.7520;106.6835;;0.35;62.063530;7.262427;554
1726564520050;78.5234;102.9062;;0.35;62.062630;7.263615;576
1726564537147;71.9386;107.6038;;0.35;62.061935;7.264314;586
1726564547746;79.1460;100.0315;;0.34;62.062340;7.263008;594
1726564562742;54.0402;104.2663;;0.34;62.062103;7.262121;602
1726564576452;80.8733;101.2157;;0.34;62.061661;7.263803;610
1726564587146;89.2616;109.3984;;0.34;62.060947;7.264829;619
1726564596650;82.4017;110.1678;;0.34;62.060192;7.266252;628
1726564606256;65.7579;109.2062;;0.34;62.059486;7.267873;638
1726564615849;65.0495;100.2597;;0.34;62.058910;7.269485;647
1726564628741;42.0651;101.9721;;0.34;62.058510;7.271105;637
1726564640341;108.8513;102.0614;;0.34;62.058468;7.269943;662
1726564651141;41.8660;106.1543;;0.34;62.058899;7.268086;673
1726564675341;86.6767;103.4553;;0.33;62.059196;7.266155;685
