# Charging session recorded by Car Stats Viewer v0.29.0.0019 (com.ixam97.carStatsViewer_dev)
#
# Vehicle brand and model: Polestar. Polestar (ihu_abl_car)
# Start timestamp: 1726589727705
# End timestamp: 1726593408256
# Charged Energy: 135283.41881722835
# Charged SoC: 0.0
# Outside Temperature: 17.0
# Lat: 59.602867
# Lon: 10.7414665

Timestamp;Charging session id;energy delta; power;SoC;point marker type
1726589727827;86;0.0226;270725.0000;0.29;1
1726589732856;86;0.4813;425425.0313;0.29;
1726589737835;86;0.8616;696149.9375;0.29;
1726589742835;86;0.9689;-1703900.0000;0.29;
1726589747835;86;-49.7355;-68079376.0000;0.29;
1726589752835;86;-145.0958;-138859872.0000;0.29;
1726589757835;86;-203.4920;-147366224.0000;0.29;2
1726593016945;86;-81.9891;-147992752.0000;0.29;1
1726593021942;86;-134047.0469;-13928175.0000;0.92;
1726593026942;86;-19.4380;-13883100.0000;0.92;
1726593031952;86;-19.0904;-14333850.0000;0.92;
1726593036958;86;-19.7973;-13838025.0000;0.92;
1726593041958;86;-19.1660;-12666075.0000;0.92;
1726593046958;86;-15.2122;-3732925.0000;0.92;
1726593051958;86;-4.3331;-3015000.0000;0.92;
1726593056958;86;-5.4056;-4944500.0000;0.92;
1726593061958;86;-7.2388;-5670000.0000;0.92;
1726593066958;86;-8.4609;-7020000.0000;0.92;
1726593071958;86;-9.4436;-6525000.0000;0.92;
1726593076958;86;-9.7754;-6660000.0000;0.92;
1726593081958;86;-9.6077;-6570000.0000;0.92;
1726593086958;86;-9.5332;-6885000.0000;0.92;2
1726593404939;86;-2.2588;-6750000.0000;0.92;1
1726593408247;86;-599.6361;808649.9375;0.92;2
