# Charging session recorded by Car Stats Viewer v0.29.0.0019 (com.ixam97.carStatsViewer_dev)
#
# Vehicle brand and model: Polestar. Polestar (ihu_abl_car)
# Start timestamp: 1726579359974
# End timestamp: 1726581216766
# Charged Energy: 40856.845857429864
# Charged SoC: 0.0
# Outside Temperature: 17.0
# Lat: 61.130436
# Lon: 10.434652

Timestamp;Charging session id;energy delta; power;SoC;point marker type
1726579360030;85;0.0226;271250.0000;0.29;1
1726579365084;85;0.5005;465000.0313;0.29;
1726579370080;85;1.0237;891250.0000;0.29;
1726579375071;85;1.4251;1123750.0000;0.29;
1726579380070;85;1.7211;1395000.0000;0.29;
1726579385098;85;-4.1251;-6285600.0000;0.29;
1726579390100;85;-32.3517;-52000096.0000;0.29;
1726579395100;85;-112.7776;-90692176.0000;0.29;2
1726579752405;85;-20.1350;-90533272.0000;0.29;1
1726579757403;85;-9090.0869;-93145304.0000;0.40;
1726579762405;85;-131.9717;-93022520.0000;0.40;
1726579767405;85;-126.7395;-93202200.0000;0.40;
1726579772406;85;-131.7956;-93177152.0000;0.40;
1726579777406;85;-128.8056;-92480568.0000;0.40;
1726579782406;85;-128.2949;-91988872.0000;0.40;
1726579787406;85;-127.7318;-91374248.0000;0.40;
1726579792406;85;-123.6123;-90663296.0000;0.41;
1726579797406;85;-126.2425;-88342104.0000;0.41;
1726579802406;85;-120.0048;-87878704.0000;0.41;
1726579807406;85;-124.2704;-87768448.0000;0.41;
1726579812406;85;-121.8316;-87755848.0000;0.41;
1726579817406;85;-121.8983;-87904000.0000;0.41;
1726579822406;85;-119.3109;-87412000.0000;0.42;
1726579827406;85;-123.5998;-87043000.0000;0.42;
1726579832406;85;-120.8030;-86867000.0000;0.42;
1726579837406;85;-120.4178;-86838000.0000;0.42;
1726579842406;85;-119.9061;-86346000.0000;0.42;
1726579847406;85;-119.7624;-86264000.0000;0.42;
1726579852406;85;-117.3112;-86111472.0000;0.42;
1726579857406;85;-122.0584;-86070456.0000;0.42;
1726579862406;85;-119.5931;-86182000.0000;0.43;
